"gcm","institution","aerosol","atmos","atmosChem","land","landIce","ocean","ocnBgchem","seaIce"
"MIROC6","MIROC","MIROC6_aerosol_SPRINTARS6.0","MIROC6_atmos_CCSR-AGCM","none","MIROC6_land_MATSIRO6.0","none","MIROC6_ocean_COCO4.9","none","MIROC6_seaIce_COCO4.9"
"MPI-ESM-1-2-HAM","HAMMOZ-Consortium","MPI-ESM-1-2-HAM_aerosol_HAM2.3","MPI-ESM-1-2-HAM_atmos_ECHAM6.3","MPI-ESM-1-2-HAM_atmosChem_sulfur-chemistry","MPI-ESM-1-2-HAM_land_JSBACH3.20","none","MPI-ESM-1-2-HAM_ocean_MPIOM1.63","MPI-ESM-1-2-HAM_ocnBgchem_HAMOCC","MPI-ESM-1-2-HAM_seaIce_unnamed-thermodynamic"
"MPI-ESM1-2-HR","MPI-M-/-DWD-/-DKRZ","MPI-ESM1-2-HR_aerosol_prescribed","MPI-ESM1-2-HR_atmos_ECHAM6.3","none","MPI-ESM1-2-HR_land_JSBACH3.20","MPI-ESM1-2-HR_landIce_none_prescribed","MPI-ESM1-2-HR_ocean_MPIOM1.63","MPI-ESM1-2-HR_ocnBgchem_HAMOCC","MPI-ESM1-2-HR_seaIce_unnamed-thermodynamic"
"MPI-ESM1-2-LR","MPI-M-/-AWI-/-DKRZ-/-DWD","MPI-ESM1-2-LR_aerosol_prescribed","MPI-ESM1-2-LR_atmos_ECHAM6.3","none","MPI-ESM1-2-LR_land_JSBACH3.20","MPI-ESM1-2-LR_landIce_none_prescribed","MPI-ESM1-2-LR_ocean_MPIOM1.63","MPI-ESM1-2-LR_ocnBgchem_HAMOCC","MPI-ESM1-2-LR_seaIce_unnamed-thermodynamic"
"MRI-AGCM3-2-S","MRI","MRI-AGCM3-2-S_aerosol_prescribed","MRI-AGCM3-2-S_atmos_MRI-AGCM3.2S","none","MRI-AGCM3-2-S_land_SIB0109","none","none","none","none"
"MRI-ESM2-0","MRI","MRI-ESM2-0_aerosol_MASINGAR-mk2r4","MRI-ESM2-0_atmos_MRI-AGCM3.5","MRI-ESM2-0_atmosChem_MRI-CCM2.1","MRI-ESM2-0_land_HAL1.0","none","MRI-ESM2-0_ocean_MRI.COM4.4","MRI-ESM2-0_ocnBgchem_MRI.COM4.4","MRI-ESM2-0_seaIce_MRI.COM4.4"
"NESM3","NUIST","none","NESM3_atmos_ECHAM6.3","none","NESM3_land_JSBACH3.1","none","NESM3_ocean_NEMO3.4","none","NESM3_seaIce_CICE4.1"
"NICAM16-7S","MIROC","NICAM16-7S_aerosol_prescribed_MACv2-SP","NICAM16-7S_atmos_NICAM.16","none","NICAM16-7S_land_MATSIRO6-MOSAIC","none","none","none","NICAM16-7S_seaIce_Fixed"
"NICAM16-8S","MIROC","NICAM16-8S_aerosol_prescribed_MACv2-SP","NICAM16-8S_atmos_NICAM.16","none","NICAM16-8S_land_MATSIRO6-MOSAIC","none","none","none","NICAM16-8S_seaIce_Fixed"
"NICAM16-9S","MIROC","NICAM16-9S_aerosol_prescribed_MACv2-SP","NICAM16-9S_atmos_NICAM.16","none","NICAM16-9S_land_MATSIRO6-MOSAIC","none","none","none","NICAM16-9S_seaIce_Fixed"
"NorCPM1","NCC","NorCPM1_aerosol_OsloAero4.1","NorCPM1_atmos_CAM-OSLO4.1","NorCPM1_atmosChem_OsloChemSimp4.1","NorCPM1_land_CLM4","none","NorCPM1_ocean_MICOM1.1","NorCPM1_ocnBgchem_HAMOCC5.1","NorCPM1_seaIce_CICE4"
"NorESM1-F","NCC","none","NorESM1-F_atmos_CAM4","none","NorESM1-F_land_CLM4","NorESM1-F_landIce_CISM","NorESM1-F_ocean_MICOM","NorESM1-F_ocnBgchem_HAMOCC5.1","NorESM1-F_seaIce_CICE4"
"NorESM2-LM","NCC","NorESM2-LM_aerosol_OsloAero","NorESM2-LM_atmos_CAM-OSLO","NorESM2-LM_atmosChem_OsloChemSimp","NorESM2-LM_land_CLM","NorESM2-LM_landIce_CISM","NorESM2-LM_ocean_MICOM","NorESM2-LM_ocnBgchem_HAMOCC","NorESM2-LM_seaIce_CICE"
"NorESM2-MM","NCC","NorESM2-MM_aerosol_OsloAero","NorESM2-MM_atmos_CAM-OSLO","NorESM2-MM_atmosChem_OsloChemSimp","NorESM2-MM_land_CLM","NorESM2-MM_landIce_CISM","NorESM2-MM_ocean_MICOM","NorESM2-MM_ocnBgchem_HAMOCC","NorESM2-MM_seaIce_CICE"
"SAM0-UNICON","SNU","SAM0-UNICON_aerosol_MAM3","SAM0-UNICON_atmos_CAM5.3-UNICON","none","SAM0-UNICON_land_CLM4.0","none","SAM0-UNICON_ocean_POP2","none","SAM0-UNICON_seaIce_CICE4.0"
"TaiESM1","AS-RCEC","TaiESM1_aerosol_SNAP","TaiESM1_atmos_TaiAM1","TaiESM1_atmosChem_SNAP","TaiESM1_land_CLM4.0","none","TaiESM1_ocean_POP2","none","TaiESM1_seaIce_CICE4"
"TaiESM1-TIMCOM","NTU","TaiESM1-TIMCOM_aerosol_SNAP","TaiESM1-TIMCOM_atmos_TaiAM1","TaiESM1-TIMCOM_atmosChem_SNAP","TaiESM1-TIMCOM_land_CLM4.0","none","TaiESM1-TIMCOM_ocean_TIMCOM1.7","none","TaiESM1-TIMCOM_seaIce_CICE4"
